,H2_line,Ehi,Vhi,Jhi,Elo,Vlo,Jlo,wl_mic,wl_lab,log_L_or_I,I_Inorm,Excit_hi_K,g_u_h_nu_Aul,wl_obs,I_obs,Notes,Obs_Cloudy,d_wav,H2_index,blend_index
0,7-2 S(7),0.0,7.0,9.0,0.0,2.0,7.0,0.6029572,6029.57A,32.839,2.379e-05,39618.089,2.24e-17,6029.57,0.03,,12.61034048,-0.002,173,
1,7-2 S(1),0.0,7.0,3.0,0.0,2.0,1.0,0.603746,6037.46A,32.837,2.367e-05,35613.272,1.657e-18,6037.4,0.042,,17.74397972,-0.06,175,
2,7-2 S(0),0.0,7.0,2.0,0.0,2.0,0.0,0.6083077,6083.08A,32.492,1.069e-05,35280.972,1.974e-19,6083.2,0.01,,9.35453695,0.123,180,
3,4-0 S(5),0.0,4.0,7.0,0.0,0.0,5.0,0.6221627,6221.63A,32.9,2.736e-05,25622.762,3.523e-18,6221.82,0.044,,16.08187135,0.193,199,
4,12-5 S(1),0.0,12.0,3.0,0.0,5.0,1.0,0.6261726,6261.73A,32.372,8.108e-06,49705.904,2.46e-18,6261.68,0.028,High T(excit),34.53379378,-0.046,205,
5,4-0 S(3),0.0,4.0,5.0,0.0,0.0,3.0,0.6270237,6270.24A,32.949,3.064e-05,23954.871,1.609e-18,6270.67,0.094,blend 12-5 S(2),30.67885117,0.433,207,
6,12-5 S(2),0.0,12.0,4.0,0.0,5.0,2.0,0.6270241,6270.24A,32.355,7.801e-06,49931.723,1.641e-18,,,blend with prev,,,208,207.0
7,4-0 S(12),0.0,4.0,14.0,0.0,0.0,12.0,0.6434035,6434.04A,32.401,8.668e-06,34295.626,3.488e-18,6434.16,0.047,blend 4-0 S(0),54.22242732,0.125,238,
8,4-0 S(0),0.0,4.0,2.0,0.0,0.0,0.0,0.6434991,6434.99A,32.448,9.66e-06,22352.468,5.818e-20,,,blend with prev,,,239,238.0
9,8-3 S(3),0.0,8.0,5.0,0.0,3.0,3.0,0.6450834,6450.83A,33.139,4.742e-05,40115.502,1.139e-17,6451.2,0.02,,4.217629692,0.366,243,
10,8-3 S(5),0.0,8.0,7.0,0.0,3.0,5.0,0.6459071,6459.07A,33.047,3.841e-05,41354.898,2.435e-17,6459.25,0.05,,13.01744337,0.179,244,
11,8-3 S(2),0.0,8.0,4.0,0.0,3.0,2.0,0.6469133,6469.13A,32.972,3.228e-05,39621.684,2.241e-18,6468.07,0.064,elam = 2 sig,19.82651797,-1.063,246,
12,8-3 S(6),0.0,8.0,8.0,0.0,3.0,6.0,0.6486298,6486.30A,32.646,1.527e-05,42087.056,1.067e-17,6486.27,0.025,,16.37197119,-0.028,248,
13,8-3 S(1),0.0,8.0,3.0,0.0,3.0,1.0,0.6502089,6502.09A,33.001,3.453e-05,39219.492,3.389e-18,6501.74,0.055,,15.9281784,-0.349,250,
14,8-3 S(7),0.0,8.0,9.0,0.0,3.0,7.0,0.652962,6529.62A,32.937,2.979e-05,42884.241,3.981e-17,6529.28,0.062,,20.81235314,-0.34,254,
15,4-0 Q(3),0.0,4.0,3.0,0.0,0.0,3.0,0.6615094,6615.09A,32.333,7.425e-06,22758.987,1.507e-19,6615.0,0.01,,13.46801347,-0.094,265,
16,5-1 S(5),0.0,5.0,7.0,0.0,1.0,5.0,0.6629043,6629.04A,33.245,6.059e-05,30063.086,1.272e-17,6628.78,0.077,,12.70836772,-0.263,268,
17,5-1 S(7),0.0,5.0,9.0,0.0,1.0,7.0,0.6636694,6636.69A,33.146,4.82e-05,32014.382,2.08e-17,6636.76,0.073,,15.14522822,0.066,269,
18,5-1 S(4),0.0,5.0,6.0,0.0,1.0,4.0,0.6645578,6645.58A,33.068,4.027e-05,29228.502,3.032e-18,6645.64,0.044,,10.92624783,0.062,270,
19,8-3 Q(1),0.0,8.0,1.0,0.0,3.0,1.0,0.6656116,6656.12A,32.613,1.414e-05,38707.583,6.853e-19,6655.89,0.037,,26.1669024,-0.226,272,
20,5-1 S(9),0.0,5.0,11.0,0.0,1.0,9.0,0.6699112,6699.11A,33.168,5.069e-05,34288.459,2.823e-17,6699.27,0.034,,6.707437364,0.158,280,
21,5-1 S(1),0.0,5.0,3.0,0.0,1.0,1.0,0.677675,6776.75A,33.232,5.883e-05,27374.175,1.848e-18,6776.75,0.069,,11.72870984,0.0,296,
22,5-1 S(0),0.0,5.0,2.0,0.0,1.0,0.0,0.6847811,6847.81A,32.914,2.828e-05,26991.949,2.352e-19,6847.53,0.048,,16.97312588,-0.281,305,
23,5-1 Q(1),0.0,5.0,1.0,0.0,1.0,1.0,0.6987185,6987.18A,32.89,2.676e-05,26734.935,4.109e-19,6987.24,0.071,,26.53213752,0.055,326,
24,5-1 Q(2),0.0,5.0,2.0,0.0,1.0,2.0,0.7009458,7009.46A,32.758,1.974e-05,26991.949,1.641e-19,7010.02,0.067,blend 9-4 S(3),33.94123607,0.562,330,
