Index,ID,wave,flux,s_n,d_vel,type,species,sigma_d_vel,fcat
7,[Fe III] 4607.12+,4608.997,0.0292036445189849,10.942795076031896,-8.221469334327427,Fe,[Fe III],16.914446316658967,0.0
35,O II 4641.81+,4643.3533,0.0690839659644425,5.985075569909891,-111.73761669174165,High,O II,,0.0
42,O II 4649.13+,4652.441,0.0671989933686999,11.228104698367336,,High,O II,,0.0
49,[Fe III] 4658.10,4660.5449,0.1046940607107284,8.418958818958826,6.773641230636493,Fe,[Fe III],5.272707103684135,0.1
71,He II  4685.68,,-0.0707229869283544,-14.27896995708181,,High,He II,,0.0
83,[Fe III] 4701.62,4704.8008,0.0333515230392127,2.932608545043939,49.68476763173468,Fe,[Fe III],33.828892633317935,0.0
91,[Ar IV] 4711.37+,4714.5338,0.5452362472884175,9.0061036613896,-45.0015332772005,High,[Ar IV],,0.1
100,UIL,4724.8177,0.0544740299998142,30.34301160692598,135.74417220901404,Unidentified,UIL,37.256961600993726,0.0
105,UIL,4732.5416,0.0209584341728415,5.61935430339525,125.32111882703146,Unidentified,UIL,37.256961600993726,0.0
110,[Fe III] 4734.00,,-0.0098208656329725,-0.4787564766839358,,Fe,[Fe III],,0.0
114,[Ar IV] 4740.17,4742.7556,0.4219709720932324,46.28172434483999,-3.843155608171362,High,[Ar IV],,0.1
126,[Fe III] 4754.81,4758.7343,0.0347666508336426,5.443475638796909,98.88963599215273,Fe,[Fe III],33.828892633317935,0.0
138,[Fe III] 4769.53,,0.0029914797323576,0.4239934264585036,,Fe,[Fe III],,0.0
157,UIL,4795.8567,0.0545318283682297,8.132151782387973,,Unidentified,UIL,18.628480800496863,0.0
174,[Fe II] 4814.534,4817.1938,0.0146308094662013,1.958861578266488,11.837343345892727,Fe,[Fe II],16.914446316658967,0.0
211,H I 4861.32,4863.9262,100.0,137.6823992997076,4.7028927733390375,Medium,H I,1.343932039399113,10.0
227,[Fe III] 4881.073,4883.3858,0.0515469834501988,10.306800618238183,-7.679728225007266,Fe,[Fe III],16.914446316658967,0.0
260,He I 4921.93,4924.5984,0.904373794591165,41.71369997325978,-40.7817261004541,Medium,He I,5.118128545095516,0.1
268,[Fe III] 4930.64,4933.7424,0.0529824592019961,5.686956056673085,19.12963428883225,Fe,[Fe III],16.914446316658967,0.0
289,[O III] 4958.91,4961.5496,121.23776493485629,97.9382071760416,3.7221122801868236,Medium,[O III],1.343932039399113,10.0
311,[Fe III] 4987.20+,4988.7116,0.1588933081645676,17.90558931885765,-17.480373287483726,Fe,[Fe III],10.54541420736827,0.1
328,[O III] 5006.84,5009.4968,339.64405758590755,168.98559412804232,5.763167410041717,Medium,[O III],1.343932039399113,10.0
335,He I 5015.68,5018.4071,1.96860430426008,43.26211406973295,0.7945250712604348,Medium,He I,1.2035835359861398,1.0
356,Si II 5041.03,5044.4243,0.0723635572561451,6.934434327727447,50.82760257076075,Fe,Si II,33.828892633317935,0.0
360,He I 5047.74,5050.3404,0.1506484457465583,112.65317919075524,-0.0949773169182589,Medium,He I,2.559064272547758,0.1
367,Si II 5055.98,5062.0768,0.0492852280869045,5.350033610478924,204.61362607063913,Fe,Si II,33.828892633317935,0.0
428,O I 5131.14,5134.6596,0.0067549512506187,1.930139330190123,19.59563691440238,Neutral,O I,16.914446316658967,0.0
441,O I 5146.61,5150.0655,0.022869509257546,5.90827617567123,45.1380838250678,Neutral,O I,33.828892633317935,0.0
449,[Fe II] 5158.81,5163.341,0.0368231540711343,3.435785253753621,118.21380754491966,Fe,[Fe II],33.828892633317935,0.0
475,[Ar  III] 5191.82,5194.0835,0.0644443579552084,4.973601789709198,136.76760699939723,Unknown,Unknown,,0.0
482,[N I]  5199.00+,5202.1225,0.1878596130581951,10.855572316801348,63.26679995337399,Neutral,[N I],10.54541420736827,0.1
498,Si II 5219.31 ,5223.0791,0.0423960354644822,6.111047926783768,8.408991358025533,Fe,Si II,16.914446316658967,0.0
531,[Fe II] 5261.61,5260.4689,0.0128797138391592,1.7603964979521964,-218.73766040599256,Fe,[Fe II],33.828892633317935,0.0
539,[Fe III] 5270.40+,5273.4875,0.0471970289699592,5.3997414402155695,1.5463006060241635,Fe,[Fe III],16.914446316658967,0.0
576,None,,0.0008522238772414,0.3075313807531374,,Unknown,Unknown,,0.0
589,[Fe II] 5333.646,5336.3032,0.047223131458921,6.068174268731879,-5.072950290744654,Fe,[Fe II],16.914446316658967,0.0
623,[Fe II] 5376.452,5378.9109,0.0334783065570272,5.442666638844108,-14.640813733296643,Fe,[Fe II],16.914446316658967,0.0
652,He II 5411.52+,,-0.0537867282885725,-11.689626207476028,,High,He II,,0.0
669,O II 5433.49,,-0.0030397917435391,-0.6707889125799557,,High,O II,,0.0
737,[Cl III] 5517.71,5520.7007,0.317859330405529,33.51315395940855,2.38936577096587,Medium,[Cl III],2.559064272547758,0.1
753,[Cl III]] 5537.88,5540.8384,0.252380013931638,40.58390304537004,10.275076604123035,Unknown,Unknown,,0.1
785,[O I] 5577.34,,-0.2583281887483026,-1.4986210762331835,,Low,[O I],,0.0
