Index,Type,ID,flux,wave,wn,dwn,mutual
3720,Neutral,Ca I] 9244.31,0.1869626662399975,9249.1502,10811.80409417505,17.516073592774774,True
3707,Med Neb,H I 9229.01,2.722671441622164,9234.19,10829.320167767824,17.516073592774774,True
3692,Med Neb,He I 9210.28,0.0580549701804801,9215.7149,10851.030124640682,7.710580684475644,True
3687,Neutral,Ca I] 9204.09,0.3250381463011846,9209.171,10858.740705325157,7.710580684475644,True
3622,Low Neb?,[Cl II] 9123.60,0.0390760317719247,9126.4798,10957.127193773002,63.40603230262241,False
3579,Med Neb,[S III] 9068.90,18.642599002142315,9073.9711,11020.533226075624,8.972654377126673,True
3574,Med Neb,He I 9063.29,0.3202565188993776,9066.5893,11029.50588045275,8.972654377126673,True
3536,Med Neb,H I 9014.91,2.631643651373258,9020.0268,11086.441561348796,56.9356808960456,False
3414,Med Neb,H I 8862.79,1.8227609477559763,8867.8264,11276.720527591744,110.43224751717025,False
3346,Med Neb,He I 8776.71+,0.029778420742573,8781.8265,11387.152775108914,34.42864563301737,False
3324,Med Neb,H I 8750.47,1.3929487627880968,8755.355,11421.581420741932,21.825240224772642,False
3311,Med Neb,He I 8733.43,0.0406620414186607,8738.6565,11443.406660966704,8.789929318121722,True
3306,Deep Neutral,[C I] 8727.13,0.2561502832842413,8731.9493,11452.196590284826,8.789929318121722,True
3299,Neutral,N I 8718.837,0.0078695466289734,8725.2334,11461.011461309447,8.814871024620516,False
3293,Neutral,N I 8711.703,0.0315259289625812,8717.0341,11471.791764586531,10.780303277084386,False
3286,Neutral,N I 8703.247,0.0702450532260645,8707.9708,11483.731663408886,11.939898822354735,False
3256,Med Neb,H I 8665.02,1.2829326427627152,8669.9196,11534.132334975746,50.40067156686018,False
3218,"Fe, Ni",[Fe II] 8616.95,0.1376955575628269,8621.7453,11598.579698242764,24.966016023419797,False
3202,Med Neb,H I 8598.39,0.7609091569848877,8603.2268,11623.545714266183,20.906675317506597,False
3190,Med Neb,He I 8582.61+,0.0513082405232325,8587.7804,11644.45238958369,5.704761716153371,True
3187,Low Neb,[Cl II] 8578.69+,0.1405644926280316,8583.5752,11650.157151299843,5.704761716153371,True
3160,Med Neb,H I 8545.38,0.8660437456080382,8550.1476,11695.70452795458,37.30483665297652,False
3138,Med Neb,He I 8518.04,0.0250767541672477,8522.9626,11733.009364607557,21.807121489651763,True
3126,Med Neb,H I 8502.49,0.6584995204893647,8507.1511,11754.816486097208,21.807121489651763,True
3098,Med Neb,H I 8467.26,0.5207662306377537,8471.9945,11803.595953703698,28.13809399818274,False
3081,Neutral,O I 8446.48,0.7337536631386854,8451.8465,11831.73404770188,12.822820538533051,True
3074,Med Neb,H I 8437.96,0.4761435657306207,8442.6966,11844.556868240414,12.822820538533051,True
3054,Med Neb,H I 8413.32+,0.3533318619191393,8417.8899,11879.46162137378,31.272524000849444,False
3037,Med Neb,H I 8392.40+,0.0803977789787552,8395.7881,11910.73414537463,23.792468762931094,False
3023,Med Neb,H I 8374.48,0.2802006219473903,8379.0504,11934.526614137561,21.150677312354674,False
3011,Med Neb,H I 8359.00+,0.2132135644627535,8364.2271,11955.677291449916,21.123932023443558,True
3000,Med Neb,H I 8345.55,0.0781980321456936,8349.4748,11976.80122347336,21.123932023443558,True
2982,Med Neb,H I 8323.42,0.1841438111381905,8328.0878,12007.558325693924,13.174312716846543,False
2975,Med Neb,H I 8314.26,0.1973440907848288,8318.9605,12020.732638410771,11.64610775905021,True
2969,Med Neb,H I 8306.11+,0.2119491147296037,8310.9086,12032.378746169821,11.64610775905021,True
2957,Med Neb,H I 8292.31,0.0182077164277039,8296.173,12053.750566676947,21.37182050712545,False
2918,Neutral,N I 8242.39,0.1260321021802941,8247.3458,12125.11302727236,9.643246997298775,True
2913,High Neb,He II 8236.78,0.0068737585864701,8240.7918,12134.75627426966,9.643246997298775,True
2902,Neutral,N I 8223.14,0.1338141209903406,8228.1313,12153.427838469228,10.438316964737169,True
2897,Neutral,N I 8216.34+,0.1789943897055189,8221.0704,12163.866155433965,10.438316964737169,True
