Index,Type,ID,flux,wave,wn,dwn,mutual
3707,Med Neb,H I 9229.01,2.722671441622164,9234.19,10829.320167767824,21.70995687285722,True
3692,Med Neb,He I 9210.28,0.0580549701804801,9215.7149,10851.030124640682,21.70995687285722,True
3579,Med Neb,[S III] 9068.90,18.642599002142315,9073.9711,11020.533226075624,8.972654377126673,True
3574,Med Neb,He I 9063.29,0.3202565188993776,9066.5893,11029.50588045275,8.972654377126673,True
3536,Med Neb,H I 9014.91,2.631643651373258,9020.0268,11086.441561348796,56.9356808960456,False
3414,Med Neb,H I 8862.79,1.8227609477559763,8867.8264,11276.720527591744,110.43224751717025,False
3346,Med Neb,He I 8776.71+,0.029778420742573,8781.8265,11387.152775108914,34.42864563301737,False
3324,Med Neb,H I 8750.47,1.3929487627880968,8755.355,11421.581420741932,21.825240224772642,True
3311,Med Neb,He I 8733.43,0.0406620414186607,8738.6565,11443.406660966704,21.825240224772642,True
3256,Med Neb,H I 8665.02,1.2829326427627152,8669.9196,11534.132334975746,89.41337929043766,False
3202,Med Neb,H I 8598.39,0.7609091569848877,8603.2268,11623.545714266183,20.906675317506597,True
3190,Med Neb,He I 8582.61+,0.0513082405232325,8587.7804,11644.45238958369,20.906675317506597,True
3160,Med Neb,H I 8545.38,0.8660437456080382,8550.1476,11695.70452795458,37.30483665297652,False
3138,Med Neb,He I 8518.04,0.0250767541672477,8522.9626,11733.009364607557,21.807121489651763,True
3126,Med Neb,H I 8502.49,0.6584995204893647,8507.1511,11754.816486097208,21.807121489651763,True
3098,Med Neb,H I 8467.26,0.5207662306377537,8471.9945,11803.595953703698,40.96091453671579,False
3074,Med Neb,H I 8437.96,0.4761435657306207,8442.6966,11844.556868240414,34.904753133367194,False
3054,Med Neb,H I 8413.32+,0.3533318619191393,8417.8899,11879.46162137378,31.272524000849444,False
3037,Med Neb,H I 8392.40+,0.0803977789787552,8395.7881,11910.73414537463,23.792468762931094,False
3023,Med Neb,H I 8374.48,0.2802006219473903,8379.0504,11934.526614137561,21.150677312354674,False
3011,Med Neb,H I 8359.00+,0.2132135644627535,8364.2271,11955.677291449916,21.123932023443558,True
3000,Med Neb,H I 8345.55,0.0781980321456936,8349.4748,11976.80122347336,21.123932023443558,True
2982,Med Neb,H I 8323.42,0.1841438111381905,8328.0878,12007.558325693924,13.174312716846543,False
2975,Med Neb,H I 8314.26,0.1973440907848288,8318.9605,12020.732638410771,11.64610775905021,True
2969,Med Neb,H I 8306.11+,0.2119491147296037,8310.9086,12032.378746169821,11.64610775905021,True
2957,Med Neb,H I 8292.31,0.0182077164277039,8296.173,12053.750566676947,21.37182050712545,False
2577,Med Neb,He I 7816.13+,0.1541675390860208,7821.8048,12784.773151076333,109.38797691416221,True
2524,Med Neb,[Ar III] 7751.10,2.4145036377391444,7755.4483,12894.161127990496,109.38797691416221,True
2323,Med Neb,He I 7499.85,0.0515672458739773,7504.1074,13326.035285689006,400.0313782754529,False
2148,Med Neb,He I 7281.35,0.934273669046596,7285.4083,13726.066663964459,230.97075553675677,False
2052,Med Neb,He I 7160.13,0.0214956454635473,7164.8443,13957.037419501215,49.01403509025113,True
2032,Med Neb,[Ar III] 7135.78,11.63862846810188,7139.771,14006.051454591467,49.01403509025113,True
1975,Med Neb,He I 7065.28,2.513932914052833,7069.2193,14145.83361418707,139.78215959560293,False
1665,Med Neb,He I 6678.15,3.293983285917068,6681.8914,14965.822401722957,263.04037457334744,True
1573,Med Neb,H I 6562.79,362.3130091534829,6566.4785,15228.862776296304,263.04037457334744,True
1372,Med Neb,[S III] 6312.06,1.8478359032749556,6315.5784,15833.862501018115,604.9997247218107,False
1023,Med Neb,He I 5875.62,13.22184903668086,5878.9795,17009.754839253983,1103.604395337763,True
737,Med Neb,[Cl III] 5517.71,0.4174176997457808,5520.7871,18113.359234591746,1103.604395337763,True
360,Med Neb,He I 5047.74,0.1847589488462094,5050.5651,19799.76458475904,126.46294159468744,False
335,Med Neb,He I 5015.68,2.425050911188918,5018.5114,19926.227526353727,35.41298753634692,True
328,Med Neb,[O III] 5006.84,476.5381855635561,5009.6083,19961.640513890074,35.41298753634692,True
289,Med Neb,[O III] 4958.91,146.8983794484866,4961.663,20154.532865291334,151.4172918452423,True
260,Med Neb,He I 4921.93,1.162489758721587,4924.6649,20305.950157136576,151.4172918452423,True
211,Med Neb,H I 4861.32,100.0,4864.0034,20559.19615516716,253.245998030583,False
