Index,Type,ID,zone-0,zone-I,zone-II,zone-III,zone-IV,zone-MYSO,zone-S
7,"Fe, Ni",[Fe III] 4607.12+,4608.9515,4608.9241,4608.8755,4609.3935,4608.72,4609.1112,4609.543
35,High Perm,O II 4641.81+,4643.3783,4643.388,4643.2542,4643.4584,4642.7628,4644.5008,4644.7249
42,High Perm,O II 4649.13+,4652.4028,4652.1319,4651.7111,4652.5818,4652.3053,4652.7094,4651.5881
49,"Fe, Ni",[Fe III] 4658.10,4660.5686,4661.8353,4660.4985,4661.1723,4661.4203,4660.5025,4660.372
71,High Neb,He II  4685.68,4688.7178,4687.2843,4688.4213,4689.0232,4688.104,4688.7674,4688.3705
83,"Fe, Ni",[Fe III] 4701.62,4704.9,4702.8151,4704.6767,4704.4474,4702.9949,4704.2199,4702.3297
91,High Neb,[Ar IV] 4711.37+,4714.6343,4713.8521,4715.2696,4715.1373,4714.1466,4715.0183,4712.5757
100,Med Neb?,UIL,4725.0843,4725.4982,4725.2427,4725.2211,4724.7968,4723.0169,4721.8494
105,"Fe, Ni?",UIL,4729.1685,4729.9638,4726.1271,4735.161,4733.2637,4730.3512,4729.6515
110,"Fe, Ni",[Fe III] 4734.00,4739.5807,4741.4854,4739.6755,4739.7465,4741.1045,4735.9222,4741.0512
114,High Neb,[Ar IV] 4740.17,4742.7502,4742.624,4742.7328,4742.9176,4742.7703,4742.7737,4742.8165
126,"Fe, Ni",[Fe III] 4754.81,4759.0729,4755.5292,4757.7207,4757.8724,4756.1751,4757.3928,4759.3549
138,"Fe, Ni",[Fe III] 4769.53,4771.9431,4772.0954,4770.7453,4772.9706,4771.8223,4771.583,4771.8266
157,"Fe, Ni?",UIL,4796.0371,4795.7875,4796.3303,4797.0274,4794.8543,4794.9889,4795.6577
174,"Fe, Ni",[Fe II] 4814.534,4817.2858,4818.2067,4816.6997,4838.247,4818.0581,4816.966,4817.3318
211,Med Neb,H I 4861.32,4863.929,4863.1127,4863.8956,4863.9873,4864.0046,4863.8633,4864.0094
227,"Fe, Ni",[Fe III] 4881.073,4883.4255,4883.1641,4883.7687,4883.8914,4883.3135,4883.5217,4883.0945
260,Med Neb,He I 4921.93,4924.5946,4924.3462,4924.6323,4924.6718,4924.6466,4924.7551,4925.0023
268,"Fe, Ni",[Fe III] 4930.64,4933.8082,4935.5175,4934.2441,4934.1772,4935.0598,4932.796,4921.8036
289,Med Neb,[O III] 4958.91,4961.5947,4961.0375,4961.6842,4961.6606,4961.6052,4961.5356,4961.6834
311,"Fe, Ni",[Fe III] 4987.20+,4988.6188,4989.3067,4988.4802,4988.6628,4988.3945,4988.931,4988.7017
328,Med Neb,[O III] 5006.84,5009.5091,5009.1942,5009.5972,5009.5778,5009.5774,5009.4468,5009.5949
335,Med Neb,He I 5015.68,5018.3698,5017.8966,5018.4533,5018.4897,5018.4677,5018.37,5018.2457
356,Med Perm,Si II 5041.03,5044.3757,5045.53,5043.8773,5043.7302,5044.6773,5043.74,5045.85
360,Med Neb,He I 5047.74,5050.4008,5050.2492,5050.4386,5050.5657,5050.544,5050.3313,5051.1916
367,Med Perm,Si II 5055.98,5062.7475,5056.6835,5063.0855,5058.0682,5056.1278,5058.7048,5059.017
428,Stellar,O I 5131.14,5135.3044,5135.3829,5134.533,5132.9583,5135.4232,5134.4548,5135.4534
441,Neutral,O I 5146.61,5149.7552,5149.922,5150.6115,5150.0727,5150.8902,5149.2617,5150.5187
