! 100 10000
H    1.00E+00
He   8.24E-02
Li   4.20E-12
Be   4.20E-12
B    1.20E-10
C    1.08E-04
N    4.07E-06
O    1.55E-04
F    1.08E-08
Ne   3.02E-05
Na   6.30E-07
Mg   1.14E-05
Al   9.00E-07
Si   1.05E-05
P    8.40E-08
S    2.75E-06
Cl   2.95E-07
Ar   6.61E-07
K    3.90E-08
Ca   6.90E-07
Sc   3.90E-10
Ti   2.94E-08
V    3.00E-09
Cr   1.41E-07
Mn   6.00E-08
Fe   1.05E-05
Co   2.49E-08
Ni   5.40E-07
Cu   4.80E-09
Zn   1.20E-08
Ga   2.28E-10
Ge   7.80E-10
Rb   1.20E-10
Sr   2.37E-10
Y    5.10E-11
Zr   1.20E-10
Nb   7.80E-12
Mo   2.49E-11
Ru   2.07E-11
Rh   3.90E-12
Pd   1.47E-11
Ag   2.61E-12
Cd   2.16E-11
In   1.38E-11
Sn   3.00E-11
Sb   3.00E-12
Ba   3.90E-11
Pt   1.89E-11
Au   3.00E-12
Pb   2.13E-11
