 3512.51  1.4E-03  | He I  3512.51, 
 3530.50  2.0E-03  | He I  3530.48, 
 3554.42  2.3E-03  | He I  3554.39, 
 3560.62  6.5E-05  | Si III  3560.62, 
 3562.93  1.8E-04  | He I  3562.97, 
 3574.78  4.7E-05  | Cr IV  3574.81, 
 3579.40  1.3E-04  | Ne II  3579.42, Ne II  3579.42, 
 3587.28  3.3E-03  | He I  3587.25, 
 3590.81  2.5E-04  | C II  3590.76, 
 3601.33  2.7E-05  | [Fe V]  3601.30, 
 3606.86  7.0E-05  | Fe I  3606.78, Ni I  3606.85, 
 3613.63  5.6E-03  | He I  3613.64, 
 3616.80  5.9E-05  | S II  3616.77, 
 3634.25  5.1E-03  | He I  3634.23, He I  3634.23, He I  3634.23, He I  3634.24, He I  3634.24, 
 3649.87  1.4E-04  | Ar I  3649.83, 
 3652.00  3.3E-04  | He I  3651.98, 
 3654.26  6.7E-05  | Ni III  3654.21, Ni III  3654.27, 
 3654.68  1.4E-04  | N II  3654.67, 
 3655.11  1.5E-04  | H I  3655.12, 
 3655.59  1.8E-04  | H I  3655.59, 
 3656.10  3.0E-04  | H I  3656.11, 
 3656.67  3.5E-04  | H I  3656.66, 
 3657.28  5.8E-04  | H I  3657.27, 
 3657.94  9.8E-04  | H I  3657.92, 
 3658.65  1.2E-03  | H I  3658.64, 
 3659.43  1.8E-03  | H I  3659.42, 
 3660.29  2.4E-03  | H I  3660.28, 
 3661.23  3.0E-03  | H I  3661.22, 
 3662.26  3.5E-03  | H I  3662.26, 
 3663.41  4.0E-03  | H I  3663.40, 
 3664.68  4.6E-03  | H I  3664.68, 
 3666.10  5.2E-03  | H I  3666.09, 
 3667.68  5.7E-03  | H I  3667.68, 
 3669.46  6.5E-03  | H I  3669.46, 
 3671.48  6.9E-03  | H I  3671.48, 
 3673.76  7.7E-03  | H I  3673.76, 
 3676.36  8.5E-03  | H I  3676.36, 
 3679.35  1.0E-02  | H I  3679.35, 
 3682.81  1.1E-02  | H I  3682.81, 
 3686.83  1.2E-02  | H I  3686.83, 
 3691.56  1.5E-02  | H I  3691.55, 
 3697.16  1.7E-02  | H I  3697.15, 
 3703.85  1.9E-02  | H I  3703.85, 
 3705.02  7.5E-03  | He I  3705.00, He I  3705.00, He I  3705.00, He I  3705.01, He I  3705.01, 
 3711.97  2.3E-02  | H I  3711.97, 
 3721.89  3.3E-02  | H I  3721.94, 
 3726.03  1.2E+00  | [O II]  3726.03, 
 3728.79  5.2E-01  | [O II]  3728.81, 
 3734.36  3.1E-02  | H I  3734.37, 
 3735.51  5.9E-04  | [Co III]  3735.47, 
 3750.15  4.1E-02  | H I  3750.15, 
 3756.06  7.8E-04  | He I  3756.11, 
 3768.78  3.0E-04  | He I  3768.82, 
 3770.63  4.9E-02  | H I  3770.63, 
 3777.16  5.0E-05  | Ne II  3777.13, 
 3780.17  4.5E-05  | Ar II  3780.14, C II  3780.14, 
 3784.85  3.7E-04  | He I  3784.89, 
 3795.63  2.5E-05  | Si II  3795.55, Ca I  3795.52, 
 3797.90  5.7E-02  | H I  3797.90, 
 3801.36  7.0E-05  | Fe I  3801.36, 
 3802.72  7.3E-05  | S II  3802.75, 
