 EMILI Output File
 ------------------------------------
 Input Line List: zone-0-emi.in
 Input Matched List: zone-0-emi.match
 Results List: zone-0-emi.out
 Short Results List: zone-0-emi.dat
 Abundance Table: abun.dat
 Electron Temp:  10000.
 Electron Density:    100.
 Inst. Resolution:    100.

 ICF Values: Bin/%
 ix 1:    9.99999978E-03
 ix 2:   0.987000048    
 ix 3:    1.00000005E-03
 ix 4:    1.00000005E-03
 ix 5:    1.00000005E-03

 Elements Depeleted:                                                                           Ionization States    Amount
 Fe                         I     - XXVII       50.00
 Ni                         I     - XXIX        50.00
 Si                         I     - XV          50.00
 Ca                         I     - XXI         50.00

 Velocity Structure: Bin/Vel(km/s)
 irvcor 1:    165.700958    
 irvcor 2:    170.145630    
 irvcor 3:    164.595108    
 irvcor 4:    161.649811    
 irvcor 5:    161.649811    

Observed Line:  4609.00  2.9E-04  S/N:    10.66 FWHM:  50.7
   4606.47 |    4607.030 [Fe III]   1746940929     38  8.1E-03 -36.3 3/0 6A
   4606.47 |    4607.200  N  I       470036498      5  6.0E-05 -47.4 0/0 7B
   4606.52 |    4607.400  O  IV      540200101      5  9.1E-06 -57.4 0/0 8C
   4606.39 | >  4609.480  C  I       402917390      6  1.9E-04-201.3 0/0 0<

Observed Line:  4643.35  6.9E-04  S/N:     3.40 FWHM: 103.9
   4640.80 |    4639.860* Al II      873559068    262  4.9E-06  61.1 0/0 7 
   4640.80 |    4639.933* O  I       537145492      6  4.3E-04  56.4 0/0 5C
   4640.80 |    4640.270  Fe II     1746355449      6  2.4E-06  34.5 2/0 8 
   4640.85 |    4640.356$ O  II      538158167      7  2.8E-06  31.9 0/0 6 
+  4640.72 |    4640.375 [V  II]    1544613901     39  2.4E-05  22.2 1/0 5C
+  4640.85 |    4640.640  N  III     471879698    262  7.2E-07  13.6 2/0 6 
+  4640.72 |    4640.664  Cr I      1610965067      7  4.9E-07   3.5 7/0 6 
+  4640.80 |    4640.812  Fe II     1746144400      8  9.8E-06  -0.5 3/0 5C
+  4640.80 |    4640.945 [Mn III]   1679884326     39  2.5E-06  -9.1 1/0 5C
+  4640.72 |    4640.859  Al I       872505383    264  1.9E-06  -9.1 3/0 6 
+  4640.80 |    4641.000  N  I       470028303      5  6.0E-05 -12.7 3/0 4A
+  4640.72 |    4641.050  Al I       872505384    264  1.9E-06 -21.5 3/0 7 
