 4608.36  4.8E-04  | [Mn IV]  4605.73, C III  4606.79, C III  4606.79, 
 4643.44  2.2E-03  | O II  4641.81, 
 4651.98  2.1E-03  | O I  4649.80, 
 4663.95  1.3E-03  | O II  4661.63, O I  4661.31, O I  4661.31, C II  4661.50, C II  4661.63, 
 4686.85  7.7E-04  | Ne II  4684.57, Ne II  4684.63, 
 4714.03  1.1E-02  | [Ar IV]  4711.37, 
 4742.72  7.8E-03  | [Ar IV]  4740.16, 
 4759.35  5.8E-04  | O I  4756.79, 
 4863.83  1.0E+00  | H I  4861.32, 
 4883.47  6.0E-04  | Ne II  4880.93, Ne II  4881.05, 
 4924.46  8.3E-03  | He I  4921.93, 
 4929.27  3.0E-03  | [O III]  4931.23, 
 4961.39  1.8E+00  | [O III]  4958.91, 
 4991.31  1.5E-03  | O II  4988.94, 
 5009.37  4.4E+00  | [O III]  5006.84, 
 5018.20  1.8E-02  | He I  5015.68, 
 5045.55  2.4E-03  | Ne II  5043.28, Ne II  5043.34, 
 5049.87  1.9E-03  | He I  5047.74, 
 5134.87  3.5E-04  | V II  5132.15, 
 5150.40  1.2E-03  | N III  5147.87, [Co II]  5147.25, [Fe III]  5148.00, 
 5160.62  2.6E-04  | C III  5158.43, C III  5158.50, 
 5202.03  7.3E-03  | O II  5199.82, 
 5223.44  1.6E-03  | [Fe II]  5220.06, [Fe IV]  5220.84, O II  5221.00, 
 5273.16  3.7E-04  | O II  5270.56, [Fe III]  5270.40, 
 5336.04  1.4E-03  | Ne I  5333.31, S II  5333.31, 
 5379.48  8.3E-04  | [Fe II]  5376.45, 
 5520.60  2.6E-03  | [Cl III]  5517.72, 
 5540.90  2.1E-03  | [Cl III]  5537.89, 
 5743.13  2.0E-04  | Si III  5739.73, 
 5750.14  3.2E-04  | [Fe II]  5746.97, 
 5758.76  2.6E-04  | Fe II  5755.45, [Fe IV]  5756.48, 
 5871.92  7.8E-03  | Ne II  5869.09, 
 5878.75  1.2E-01  | He I  5875.66, 
 5962.15  9.9E-04  | O I  5958.54, 
 5982.15  1.1E-03  | Si II  5978.93, Ni II  5978.95, 
 6032.93  2.5E-04  | Ne I  6030.00, 
 6049.54  4.3E-04  | O I  6046.39, 
 6104.88  1.4E-04  | [K IV]  6101.79, C III  6102.30, C III  6102.30, 
 6251.97  9.6E-04  | C I  6248.66, 
 6265.41  6.1E-04  | Ne II  6262.70, 
 6275.05  8.3E-04  | Ne II  6272.43, 
 6304.34  9.5E-03  | [O I]  6300.30, 
 6315.34  8.0E-03  | [S III]  6312.10, 
 6321.07  2.2E-03  | Ne II  6317.89, Ne II  6317.90, Fe I  6317.26, Ca III  6318.22, Fe II  6317.98, 
 6350.75  7.9E-04  | Si II  6347.11, 
 6368.07  4.3E-03  | Ne I  6365.00, 
 6374.79  4.9E-04  | Ne II  6371.92, Si II  6371.37, 
 6436.49  4.0E-04  | N II  6433.38, S II  6433.47, Si III  6433.60, 
 6471.51  1.4E-03  | Fe II  6468.11, 
 6493.23  4.2E-04  | O II  6490.95, O II  6491.09, O II  6491.20, O II  6491.26, 
 6505.55  6.4E-04  | O II  6502.45, O II  6502.50, 
 6532.96  1.3E-03  | O II  6530.30, 
 6552.61  7.4E-03  | O II  6550.60, Ne II  6550.65, Ne II  6550.65, Ne II  6550.66, O II  6550.66, 
 6566.19  3.2E+00  | H I  6562.80, 
 6587.83  5.0E-02  | [N II]  6583.46, 
 6620.65  1.6E-04  | C III  6618.00, 
 6632.44  5.1E-04  | S II  6628.34, N II  6629.02, 
 6640.66  3.9E-04  | O II  6637.28, O II  6637.33, 
 6649.47  3.3E-04  | O II  6646.36, 
 6661.41  2.2E-04  | N II  6658.14, 
 6681.61  2.9E-02  | He I  6678.15, 
 6703.28  2.8E-04  | Fe II  6699.77, 
 6720.57  6.9E-02  | [S II]  6716.44, 
 6735.29  8.2E-02  | [S II]  6730.81, 
 6781.02  2.8E-04  | N II  6777.54, 
 6798.19  1.5E-04  | [K IV]  6795.10, 
 6841.72  3.9E-04  | S II  6837.46, 
 6852.26  2.6E-04  | N II  6848.18, [Ni II]  6848.42, 
 6991.80  2.7E-04  | He I  6989.45, 
 7006.80  5.5E-04  | O I  7002.12, Fe I  7002.60, 
 7012.72  4.6E-04  | S II  7008.72, Ne II  7009.55, Ne II  7009.83, 
 7030.22  5.3E-04  | Fe I  7026.10, 
 7042.17  5.1E-04  | Fe III  7038.98, Si I  7038.22, 
 7048.07  3.2E-04  | [V II]  7044.08, [Cr III]  7044.45, 
 7068.89  2.2E-02  | He I  7065.37, 
 7082.78  1.3E-04  | [Fe III]  7078.10, 
 7096.87  3.6E-04  | C I  7093.23, S II  7093.79, [Fe II]  7093.97, 
 7110.58  2.5E-04  | Ar II  7106.88, 
 7139.35  6.2E-02  | [Ar III]  7135.80, 
 7161.40  5.0E-04  | C III  7157.73, He I  7160.58, 
 7174.22  5.3E-04  | N II  7170.40, 
 7182.05  1.5E-04  | O II  7179.30, Fe II  7179.16, 
 7188.78  9.3E-04  | O II  7185.90, 
 7202.94  4.6E-04  | O II  7199.50, Ar II  7198.82, Fe I  7198.54, 
 7258.97  9.1E-04  | 
 7270.03  1.3E-03  | [Fe IV]  7266.90, 
 7284.92  9.3E-03  | He I  7281.35, 
 7291.19  5.7E-04  | O II  7287.90, Fe II  7287.23, 
 7309.70  2.7E-03  | [Fe IV]  7305.00, S I  7305.00, 
 7324.51  4.6E-03  | [O II]  7319.99, 
 7429.49  5.3E-04  | Si I  7424.96, Ar I  7425.29, [Fe III]  7425.83, 
 7446.79  8.3E-04  | Si I  7442.21, P IV  7443.67, 
 7457.55  7.8E-05  | Ar II  7453.02, Mn II  7453.40, Si I  7453.10, 
 7466.84  5.3E-04  | O II  7463.17, 
 7472.54  1.7E-03  | O II  7469.53, 
 7493.17  3.3E-04  | Ne I  7488.87, 
 7503.49  4.3E-04  | He I  7499.85, 
 7517.69  1.5E-03  | C III  7514.30, C III  7514.30, 
 7530.67  1.4E-03  | Cr II  7526.61, 
 7534.34  8.5E-04  | [Cl IV]  7530.80, 
 7633.13  2.9E-03  | Ar I  7628.88, 
 7641.95  2.4E-03  | [Fe II]  7637.54, 
 7667.63  1.4E-03  | O I  7663.44, 
 7710.75  2.0E-03  | C III  7707.43, O I  7706.74, 
 7743.91  4.5E-03  | O II  7740.97, 
 7754.96  1.6E-02  | [Ar III]  7751.10, 
 7773.48  8.5E-04  | S II  7769.21, 
 7787.47  1.2E-03  | S II  7783.17, 
 7821.66  6.6E-03  | [Cr III]  7817.34, 
 7841.68  2.0E-03  | C I  7837.09, Ar II  7837.76, 
 7895.78  6.3E-04  | Si I  7891.21, 
 8004.53  1.7E-04  | [Fe II]  7999.49, [Cr II]  8000.08, 
 8040.00  2.7E-04  | O I  8036.00, 
 8050.76  1.6E-03  | [Cl IV]  8046.30, 
 8087.60  4.1E-04  | Ar II  8082.99, 
 8131.71  4.0E-04  | He I  8127.16, 
 8155.68  3.8E-04  | Ne I  8151.56, 
 8192.37  8.5E-04  | Ar I  8187.69, Ar I  8187.70, N I  8188.01, 
 8195.05  3.2E-04  | N II  8190.50, 
 8204.91  5.3E-04  | Ne II  8200.84, N I  8200.36, Cr II  8200.92, 
 8211.81  1.1E-04  | [Fe III]  8207.40, 
 8214.89  1.2E-03  | Cr III  8210.20, [Co V]  8211.20, 
 8221.07  1.9E-03  | Si I  8216.03, 
 8228.13  1.5E-03  | Ne II  8224.48, Ne II  8224.48, Ne II  8224.51, Ne II  8224.51, 
 8233.92  3.8E-04  | Ne II  8230.15, Ne II  8230.33, Ne II  8230.35, 
 8238.31  5.6E-04  | C II  8234.30, 
 8247.35  1.3E-03  | Fe I  8242.44, Fe II  8242.98, Fe I  8242.66, 
 8272.11  7.3E-04  | H I  8267.94, 
 8277.93  4.9E-04  | H I  8276.31, 
 8288.11  1.4E-03  | H I  8286.43, 
 8291.89  1.8E-03  | H I  8286.43, 
 8303.81  2.9E-03  | H I  8298.83, 
 8310.55  2.0E-03  | H I  8306.11, 
 8318.54  1.5E-03  | H I  8314.26, 
 8327.66  1.6E-03  | H I  8323.42, 
 8334.60  9.5E-04  | C III  8330.80, C III  8330.80, 
 8338.31  1.1E-02  | H I  8333.78, 
 8349.03  1.2E-03  | H I  8345.55, 
 8364.31  2.3E-03  | H I  8359.00, 
 8378.18  1.0E-03  | H I  8374.48, 
 8393.11  3.5E-04  | Ne II  8388.99, 
 8413.71  8.4E-03  | H I  8413.32, 
 8442.31  3.3E-03  | H I  8437.95, 
 8451.85  7.3E-03  | S II  8447.32, 
 8464.12  3.6E-03  | Ar II  8459.48, [Cr II]  8459.32, 
 8471.45  3.0E-03  | H I  8467.25, 
 8480.29  2.9E-04  | Fe II  8475.80, 
 8506.78  3.0E-03  | H I  8502.48, 
 8522.60  4.8E-04  | He I  8518.04, 
 8528.38  2.1E-04  | Fe II]  8523.66, 
 8533.30  5.0E-04  | Ne II  8529.62, 
 8549.64  8.8E-03  | H I  8545.38, 
 8555.48  1.0E-03  | Si I  8550.34, Cl I  8550.44, Fe II  8551.01, 
 8565.86  4.2E-04  | [Cr II]  8560.29, 
 8584.00  6.9E-04  | [Cl II]  8578.69, 
 8588.15  4.0E-04  | He I  8583.64, 
 8602.82  6.1E-03  | H I  8598.39, 
 8617.02  1.9E-04  | O II  8613.30, He I  8615.00, 
 8623.18  3.2E-04  | Fe I  8618.15, 
 8635.73  7.8E-04  | He I  8632.79, 
 8654.87  8.8E-04  | He I  8649.88, 
 8664.73  3.5E-03  | Fe II]  8660.10, Cr I  8659.95, 
 8669.59  9.7E-03  | H I  8665.02, 
 8687.18  9.9E-04  | C II  8682.53, O II  8684.07, O II  8684.11, Fe II  8683.26, 
 8698.27  5.4E-04  | Ne II  8694.40, 
 8700.06  7.0E-04  | Fe II]  8695.22, Ne II  8696.45, [Co II]  8695.33, 
 8707.97  7.1E-04  | Fe I  8702.77, Ne II  8704.11, Ne II  8704.21, 
 8717.03  3.7E-04  | Ne II  8713.19, Ne II  8713.26, 
 8725.23  2.1E-04  | Cr II  8720.14, Fe II  8720.68, 
 8737.76  2.7E-04  | He I  8734.82, 
 8744.27  2.1E-04  | [Fe II]  8739.07, He I  8739.97, 
 8754.83  1.1E-02  | 
 8819.13  1.1E-03  | O II  8815.68, 
 8857.27  7.9E-04  | He I  8854.11, 
 8867.46  1.9E-02  | H I  8862.78, 
 8952.30  1.6E-03  | He I  8949.20, 
 9019.45  1.5E-02  | H I  9014.91, 
 9067.24  7.0E-03  | He I  9063.32, 
 9073.49  9.7E-02  | [S III]  9068.60, 
 9103.17  2.7E-03  | C II  9098.30, C II  9098.30, 
 9125.74  7.3E-04  | Fe II  9121.07, 
 9160.72  3.1E-04  | Ne II  9156.11, Ne II  9156.20, O I  9156.01, 
 9209.41  2.1E-04  | C II  9205.30, 
 9215.44  5.7E-04  | He I  9210.27, 
 9225.42  3.5E-04  | C II  9220.50, 
 9233.69  2.6E-02  | H I  9229.01, 
 9240.02  3.3E-03  | Ne II  9235.81, 
 9249.21  6.4E-04  | O III  9245.10, 
 9267.78  3.1E-04  | C I  9261.73, C I  9261.75, N II  9262.50, 
