 4610.21  7.5E-05  | C III  4607.60, 
 4643.16  1.8E-04  | O II  4640.36, 
 4652.59  9.9E-04  | O I  4649.80, 
 4660.85  7.1E-04  | [Fe III]  4658.05, 
 4704.41  3.7E-04  | [Fe III]  4701.53, 
 4715.14  4.4E-03  | He I  4713.22, 
 4742.90  2.7E-03  | [Ar IV]  4740.16, 
 4757.20  6.8E-05  | [Fe III]  4754.69, 
 4772.81  1.6E-04  | O I  4770.05, O I  4770.12, 
 4864.00  1.0E+00  | H I  4861.32, 
 4884.35  1.8E-04  | C I  4881.61, 
 4924.66  1.2E-02  | He I  4921.93, 
 4933.97  5.6E-04  | [O III]  4931.23, 
 4961.66  1.5E+00  | [O III]  4958.91, 
 4988.70  1.6E-03  | [Cr II]  4985.69, Ar II  4986.14, 
 5009.61  4.8E+00  | [O III]  5006.84, 
 5018.51  2.4E-02  | He I  5015.68, 
 5043.77  5.4E-04  | O II  5041.26, 
 5050.57  1.9E-03  | He I  5047.74, 
 5058.37  2.1E-04  | Ar I  5055.46, 
 5151.89  1.3E-04  | Fe II  5148.91, 
 5194.57  7.8E-04  | [Ar III]  5191.82, 
 5273.32  5.4E-04  | [Fe III]  5270.40, 
 5378.80  8.2E-05  | O II  5375.57, 
 5520.79  4.3E-03  | [Cl III]  5517.72, 
 5540.92  3.2E-03  | [Cl III]  5537.89, 
 5742.88  1.9E-04  | Si III  5739.73, 
 5750.67  1.1E-04  | O II  5747.33, 
 5758.16  6.3E-04  | [N II]  5754.64, 
 5805.76  3.6E-05  | Fe II  5802.77, 
 5870.14  3.4E-03  | Ar II  5866.62, O I  5867.12, 
 5878.98  1.3E-01  | He I  5875.66, 
 5982.36  1.3E-04  | Si II  5978.93, Ni II  5978.95, 
 6104.25  6.4E-05  | Fe II  6100.96, N III  6101.20, Ne II  6101.42, [K IV]  6101.79, 
 6253.14  8.1E-05  | Ne II  6249.89, 
 6315.58  1.9E-02  | [S III]  6312.10, 
 6351.18  2.1E-04  | S II  6347.73, 
 6368.78  1.4E-03  | Ne I  6365.00, [Ni II]  6365.10, 
 6388.70  1.4E-04  | S II  6385.10, 
 6471.91  2.8E-04  | Fe II  6468.11, 
 6505.29  1.2E-04  | O II  6501.42, 
 6519.37  1.8E-05  | C III  6515.10, C III  6515.15, Ne II  6515.27, O II  6515.32, C II  6515.70, O II  6516.14, 
 6533.17  1.2E-04  | Ne II  6529.18, 
 6551.99  9.5E-03  | [N II]  6548.04, 
 6566.48  3.6E+00  | H I  6562.80, 
 6587.38  3.6E-02  | [N II]  6583.46, 
 6620.42  1.8E-05  | Ne II  6616.39, C II  6616.80, Ne II  6616.97, Ne II  6617.17, 
 6681.89  3.4E-02  | He I  6678.15, 
 6720.52  3.3E-02  | [S II]  6716.44, 
 6734.98  2.9E-02  | [S II]  6730.81, 
 6795.67  2.2E-05  | Ne II  6791.25, Ne II  6792.23, Ne II  6792.40, 
 6796.62  3.9E-05  | Ne II  6792.23, Ne II  6792.40, Ne II  6792.73, 
 6842.55  5.3E-05  | S II  6838.80, 
 7022.44  3.2E-05  | [Fe II]  7017.94, 
 7031.22  7.0E-05  | Fe I  7026.98, 
 7042.83  1.2E-04  | N II  7038.90, Fe III  7038.98, 
 7048.81  7.7E-05  | S II  7045.89, 
 7058.41  4.9E-04  | [Ni II]  7054.20, Fe I  7054.22, Si I  7054.61, 
 7069.22  2.5E-02  | He I  7065.37, 
 7083.19  8.4E-05  | [V II]  7078.93, Fe I  7079.43, 
 7139.77  1.2E-01  | [Ar III]  7135.80, 
 7151.73  3.8E-04  | Ni II  7147.26, 
 7164.84  2.2E-04  | He I  7160.58, 
 7174.07  8.6E-05  | N II  7170.40, [Ar IV]  7170.50, 
 7188.83  2.3E-04  | [Cr IV]  7184.10, 
 7202.17  1.1E-04  | [Cr III]  7197.88, 
 7227.97  1.2E-04  | C I  7224.24, 
 7270.52  4.5E-04  | [Fe IV]  7266.90, C II  7267.35, 
 7285.41  9.4E-03  | He I  7281.35, 
 7292.53  5.8E-04  | [Fe II]  7288.46, 
 7310.74  5.2E-04  | Fe I  7306.56, 
 7324.13  1.6E-02  | [O II]  7319.99, 
 7334.48  1.1E-02  | [Fe II]  7330.22, [O II]  7330.73, 
 7467.60  1.2E-04  | O II  7463.17, 
 7504.11  5.2E-04  | He I  7499.85, 
 7518.06  3.1E-04  | C III  7514.30, C III  7514.30, 
 7531.30  2.4E-04  | [V II]  7526.92, Ar II  7526.97, O II  7527.06, Ar II  7527.07, 
 7534.82  3.7E-04  | [Cl IV]  7530.80, 
 7633.42  5.7E-04  | Ar I  7628.88, Si I  7629.07, Si I  7629.38, 
 7642.55  6.0E-04  | [Fe II]  7637.54, O II  7638.60, 
 7667.99  1.6E-04  | O I  7663.44, 
 7721.33  2.2E-03  | O II  7716.26, 
 7743.64  1.7E-03  | O II  7739.73, 
 7755.45  2.4E-02  | [Ar III]  7751.10, 
 7788.29  2.0E-04  | O II  7783.11, S III  7783.92, 
 7821.80  1.8E-03  | [Cr III]  7817.34, Ca III  7817.43, 
 7841.79  5.1E-04  | Ni II  7837.28, Ar II  7837.76, 
 8050.81  3.7E-04  | [Cl IV]  8046.30, 
 8132.08  1.4E-04  | He I  8127.16, 
 8191.67  1.2E-04  | N II  8186.89, Al II  8186.94, Ar I  8187.42, 
 8195.28  2.0E-04  | N II  8190.50, 
 8215.37  1.7E-05  | Ne II  8210.43, 
 8290.61  8.3E-04  | H I  8286.43, 
 8303.62  1.9E-03  | H I  8298.83, 
 8310.91  2.2E-03  | H I  8306.11, 
 8318.96  2.0E-03  | H I  8314.26, 
 8328.09  1.9E-03  | H I  8323.42, 
 8338.32  5.1E-03  | H I  8333.78, 
 8349.73  1.8E-03  | H I  8345.55, 
 8364.23  2.3E-03  | H I  8359.00, 
 8379.05  2.9E-03  | H I  8374.48, 
 8417.89  3.7E-03  | H I  8413.32, 
 8442.70  4.8E-03  | H I  8437.95, 
 8471.99  5.3E-03  | H I  8467.25, 
 8482.80  2.9E-04  | He I  8480.74, 
 8507.15  6.9E-03  | H I  8502.48, 
 8522.96  2.7E-04  | He I  8518.04, 
 8533.76  3.4E-04  | Fe I  8528.79, 
 8550.15  8.7E-03  | H I  8545.38, 
 8584.26  1.6E-04  | Ne II  8579.03, Ne II  8579.21, 
 8587.78  5.3E-04  | He I  8582.58, 
 8603.23  8.3E-03  | H I  8598.39, 
 8621.70  3.6E-05  | [Fe II]  8616.95, 
 8635.67  1.2E-04  | Fe II  8630.75, He I  8632.79, 
 8654.61  2.7E-04  | He I  8649.88, 
 8664.38  5.3E-04  | He I  8662.22, 
 8669.92  1.3E-02  | H I  8665.02, 
 8700.90  5.6E-05  | Ne II  8696.45, 
 8708.77  6.5E-05  | [Ni II]  8703.87, 
 8733.45  6.3E-05  | [Fe III]  8728.90, 
 8738.66  4.1E-04  | He I  8734.82, 
 8755.35  1.4E-02  | 
 8781.83  3.1E-04  | He I  8776.73, 
 8867.83  1.8E-02  | H I  8862.78, 
 8897.28  1.2E-03  | [Fe II]  8891.91, 
 8898.60  2.8E-04  | O II  8894.21, 
 9020.03  2.7E-02  | H I  9014.91, 
 9038.59  1.4E-04  | [Fe II]  9033.50, 
 9051.70  7.7E-04  | N II  9046.80, Ne I  9046.95, 
 9066.59  4.7E-03  | He I  9063.32, 
 9073.97  1.9E-01  | [S III]  9068.60, 
 9089.37  1.3E-04  | He I  9085.63, 
 9103.60  5.2E-04  | C II  9098.30, C II  9098.30, 
 9125.11  2.1E-04  | Ne II  9119.24, 
 9204.81  2.1E-04  | Fe II  9198.84, 
 9215.71  6.5E-04  | He I  9210.27, 
 9234.19  2.7E-02  | H I  9229.01, 
 9300.90  1.2E-03  | O II  9294.82, N II  9295.17, 
