 4608.71  1.1E-03  | [Mn IV]  4605.73, C III  4606.79, C III  4606.79, C III  4606.84, 
 4641.76  6.2E-04  | C II  4638.59, Ne I  4639.00, [Fe II]  4639.67, 
 4652.35  1.6E-03  | O I  4649.80, 
 4688.10  2.3E-03  | He II  4685.71, 
 4714.13  1.6E-02  | [Ar IV]  4711.37, 
 4742.76  1.5E-02  | [Ar IV]  4740.16, 
 4863.97  1.0E+00  | H I  4861.32, 
 4924.65  1.0E-02  | He I  4921.93, 
 4935.07  1.0E-03  | Ne II  4932.13, C I  4932.05, Ne II  4932.19, Fe II  4932.08, S II  4932.25, O III  4932.48, 
 4961.60  1.8E+00  | [O III]  4958.91, 
 5009.54  5.5E+00  | [O III]  5006.84, 
 5018.46  1.7E-02  | He I  5015.68, 
 5044.84  9.6E-04  | C II  5041.78, 
 5050.59  1.6E-03  | He I  5047.74, 
 5135.26  1.3E-04  | Ar II  5132.15, O IV  5132.60, 
 5194.25  8.0E-04  | [Ar III]  5191.82, 
 5222.29  5.2E-04  | [Cr III]  5219.32, 
 5320.80  1.0E-04  | O II  5318.26, 
 5336.06  4.7E-04  | C II  5332.89, 
 5380.75  1.2E-04  | Ne II  5377.27, Ne II  5377.44, Ne II  5377.53, [Cr II]  5377.42, [Ni III]  5377.31, O II  5377.57, Ne II  5377.60, Ne II  5377.61, 
 5520.70  2.9E-03  | [Cl III]  5517.72, 
 5540.88  2.0E-03  | [Cl III]  5537.89, 
 5742.81  6.6E-04  | Si III  5739.73, 
 5750.78  3.2E-04  | S II  5747.37, S II  5747.51, 
 5758.60  2.9E-04  | Fe II  5755.45, 
 5805.12  8.3E-05  | C II  5801.37, Ar I  5802.08, [Cr III]  5802.25, 
 5870.79  4.5E-03  | O I  5867.12, 
 5878.92  1.2E-01  | He I  5875.66, 
 5961.73  4.3E-05  | C III  5958.57, O I  5958.54, 
 5981.95  1.1E-04  | Ar II  5978.00, [Mn III]  5978.46, 
 6041.21  9.3E-05  | Ne II  6037.95, 
 6104.97  1.0E-03  | [K IV]  6101.79, 
 6265.61  6.2E-05  | Ne II  6261.98, Ne II  6262.27, 
 6275.13  2.4E-04  | C III  6271.40, 
 6315.56  8.3E-03  | [S III]  6312.10, 
 6351.72  8.2E-05  | S II  6347.73, [Mn III]  6347.97, Ar II  6348.23, Ne II  6349.16, Ne II  6349.17, 
 6388.36  2.4E-04  | Ar I  6384.72, Ar II  6384.72, Cr II  6384.84, S II  6385.10, 
 6471.80  3.6E-04  | Fe II  6468.11, 
 6505.30  2.1E-04  | O II  6501.40, O II  6501.42, O II  6502.19, 
 6533.06  2.7E-04  | Ne II  6529.18, 
 6566.44  3.0E+00  | H I  6562.80, 
 6588.15  1.8E-02  | [Fe II]  6584.40, 
 6638.98  1.3E-04  | S II  6635.07, 
 6681.86  2.8E-02  | He I  6678.15, 
 6798.49  2.2E-04  | [K IV]  6795.10, 
 7011.73  1.4E-04  | N III  7009.00, 
 7020.46  1.8E-04  | [Co IV]  7016.60, Fe II  7016.73, [Fe II]  7017.94, 
 7042.47  1.2E-04  | Ni II  7038.54, O III  7039.00, N II  7038.90, 
 7062.64  7.8E-05  | He I  7062.26, 
 7069.20  2.1E-02  | He I  7065.37, 
 7082.95  8.4E-05  | [V II]  7078.93, Cr II  7078.99, 
 7139.76  7.3E-02  | [Ar III]  7135.80, 
 7165.02  1.3E-04  | He I  7160.58, 
 7174.35  7.1E-04  | [Ar IV]  7170.50, 
 7189.17  2.2E-04  | O III  7185.40, 
 7203.47  1.2E-04  | O II  7199.50, Si I  7199.55, [V II]  7199.62, 
 7228.04  1.4E-04  | C I  7224.24, 
 7259.25  1.2E-04  | 
 7267.26  7.4E-04  | Ne II  7263.42, 
 7285.35  8.6E-03  | He I  7281.35, 
 7292.60  5.9E-04  | [Fe II]  7288.46, 
 7309.81  7.5E-04  | [Fe IV]  7305.00, S I  7305.00, 
 7324.59  6.8E-03  | [O II]  7319.99, 
 7335.01  4.5E-03  | [O II]  7330.73, 
 7467.39  3.7E-05  | O II  7463.17, 
 7504.08  4.6E-04  | He I  7499.85, 
 7517.65  4.2E-04  | Ne II  7513.85, C III  7514.30, C III  7514.30, 
 7530.61  2.1E-04  | Al II  7526.10, [V II]  7526.48, 
 7534.53  1.4E-03  | O II  7530.61, [Cl IV]  7530.80, 
 7633.13  7.0E-04  | Ar I  7628.88, Si I  7629.07, 
 7641.91  7.0E-04  | [Fe II]  7637.54, 
 7668.09  2.1E-04  | O I  7663.44, 
 7702.11  4.1E-04  | Fe II  7697.58, 
 7725.82  1.9E-04  | Fe II  7721.80, O II  7722.48, 
 7743.33  1.6E-03  | N II  7738.80, O II  7739.73, 
 7755.43  1.5E-02  | [Ar III]  7751.10, 
 7788.13  1.7E-04  | O II  7783.11, S III  7783.92, 
 7794.30  1.8E-03  | Ne II  7790.25, 
 7821.72  2.1E-03  | Ca III  7817.43, Ar I  7817.10, [Cr III]  7817.34, 
 7841.68  3.5E-04  | C I  7837.09, 
 7853.10  1.2E-03  | Ni II  7848.64, 
 7921.40  7.6E-04  | [Fe II]  7916.99, 
 7964.62  2.1E-03  | Ne II  7960.54, Ne II  7960.54, 
 8014.34  4.5E-04  | [Fe II]  8009.55, 
 8050.15  2.7E-03  | [Cl IV]  8046.30, 
 8132.10  1.1E-04  | He I  8127.16, 
 8195.09  1.0E-04  | N II  8190.50, 
 8214.72  1.1E-04  | Ne II  8210.43, 
 8240.79  7.4E-05  | Ne II  8236.14, N III  8236.40, He II  8236.79, 
 8289.16  6.9E-04  | He I  8285.43, 
 8290.60  4.4E-04  | H I  8286.43, 
 8296.76  4.3E-04  | H I  8292.31, 
 8303.55  1.6E-03  | H I  8298.83, 
 8310.79  1.6E-03  | H I  8306.11, 
 8318.96  1.4E-03  | H I  8314.26, 
 8328.15  1.3E-03  | H I  8323.42, 
 8338.19  3.7E-03  | H I  8333.78, 
 8349.56  1.0E-03  | H I  8345.55, 
 8364.26  1.8E-03  | H I  8359.00, 
 8379.05  1.8E-03  | H I  8374.48, 
 8417.89  2.6E-03  | H I  8413.32, 
 8442.68  3.4E-03  | H I  8437.95, 
 8472.00  3.8E-03  | H I  8467.25, 
 8507.13  4.9E-03  | H I  8502.48, 
 8522.96  2.3E-04  | He I  8518.04, 
 8533.34  2.1E-04  | Fe I  8528.79, 
 8550.10  6.4E-03  | H I  8545.38, 
 8587.59  5.7E-04  | He I  8582.58, 
 8603.21  5.8E-03  | H I  8598.39, 
 8635.67  1.5E-04  | He I  8632.79, 
 8655.70  4.5E-04  | O II  8651.13, 
 8664.91  5.6E-04  | He I  8662.22, 
 8669.90  9.4E-03  | H I  8665.02, 
 8700.75  8.1E-05  | [Co II]  8695.33, Ne II  8696.45, 
 8708.40  5.7E-05  | [Ni II]  8703.87, 
 8738.46  4.4E-04  | He I  8734.82, 
 8755.34  1.1E-02  | 
 8781.89  9.2E-05  | He I  8776.73, 
 8867.80  1.5E-02  | H I  8862.78, 
 9020.00  2.0E-02  | H I  9014.91, 
 9066.83  4.2E-03  | O II  9062.30, He I  9063.32, 
 9074.04  6.2E-02  | [S III]  9068.60, 
 9103.05  7.0E-04  | Ne II  9097.60, S IV  9098.30, 
 9209.72  7.6E-05  | O II  9204.17, 
 9216.23  5.5E-04  | He I  9210.27, 
 9234.15  2.3E-02  | H I  9229.01, 
 9268.41  1.1E-04  | N II  9262.50, O I  9262.78, Ne II  9263.20, Fe I  9263.22, O I]  9263.19, 
