 4610.24  6.0E-03  | C III  4607.60, 
 4643.65  5.7E-03  | C I  4641.40, 
 4660.11  2.9E-03  | C I  4657.24, 
 4711.78  1.2E-02  | C III  4709.50, 
 4742.77  4.8E-03  | [Ar IV]  4740.16, 
 4758.63  5.6E-04  | Fe II  4755.97, S II  4756.01, 
 4864.01  1.0E+00  | H I  4861.32, 
 4881.55  1.9E-03  | O II  4878.71, 
 4961.65  1.2E+00  | [O III]  4958.91, 
 4988.88  3.2E-03  | Ar II  4986.14, 
 5009.58  4.1E+00  | [O III]  5006.84, 
 5018.20  3.7E-03  | He I  5015.68, 
 5045.97  2.4E-03  | Ne II  5043.28, N II  5043.20, Ne II  5043.34, [Fe II]  5043.52, 
 5135.49  1.9E-04  | Ar II  5132.15, [Ni II]  5132.62, C II  5132.95, Fe II  5133.04, 
 5150.78  1.2E-03  | N III  5147.87, [Fe III]  5148.00, 
 5203.09  7.4E-04  | [N I]  5200.26, 
 5223.96  1.3E-03  | [Fe IV]  5220.84, Fe II  5220.75, O II  5221.00, Fe II  5221.28, 
 5274.27  2.5E-04  | [Mn III]  5271.24, N III  5271.79, [Cr IV]  5272.26, C III  5272.52, 
 5336.27  1.3E-03  | Ne I  5333.31, S II  5333.31, [Fe II]  5333.65, 
 5379.09  7.0E-04  | C III  5376.19, [Fe II]  5376.45, 
 5520.76  3.6E-03  | [Cl III]  5517.72, 
 5541.00  2.8E-03  | [Cl III]  5537.89, 
 5749.55  5.2E-04  | Fe II  5746.58, 
 5758.61  7.3E-04  | Fe II  5755.45, 
 5870.82  1.1E-02  | O I  5867.12, Ne I  5868.42, 
 5878.97  9.0E-02  | He I  5875.66, 
 5963.25  1.9E-03  | Si I  5959.93, Si I  5959.95, S II  5959.96, 
 5982.88  7.9E-04  | P II  5979.54, Fe I  5979.69, S II  5979.76, 
 6033.08  2.8E-04  | Ne I  6030.00, 
 6059.95  1.4E-03  | Ne II  6057.08, 
 6252.48  1.1E-03  | C I  6248.66, 
 6264.90  1.2E-03  | Ne II  6261.65, 
 6274.74  6.4E-03  | N II  6270.95, C III  6271.40, 
 6315.43  1.5E-02  | [S III]  6312.10, 
 6322.76  7.7E-04  | Fe II]  6318.66, Mg I  6318.98, 
 6352.43  2.2E-04  | Ne II  6349.16, Ne II  6349.17, 
 6391.78  8.3E-04  | [O I]  6391.73, C II  6392.00, 
 6437.61  1.2E-03  | N II  6433.45, C I  6433.64, N II  6434.00, 
 6456.30  7.8E-04  | [Cr V]  6453.20, 
 6461.56  1.6E-03  | O II  6457.81, O II  6457.95, 
 6470.62  2.9E-03  | [Fe II]  6466.58, 
 6488.35  3.9E-04  | O II  6485.09, 
 6505.66  5.1E-04  | O II  6502.19, 
 6520.63  3.3E-03  | Ne II  6516.85, Ne II  6517.04, 
 6551.85  1.7E-02  | [N II]  6548.04, 
 6566.51  3.0E+00  | H I  6562.80, 
 6587.30  5.9E-02  | [N II]  6583.46, 
 6619.30  1.2E-04  | Ne II  6615.46, 
 6631.85  5.4E-04  | S II  6628.34, 
 6640.94  6.3E-04  | O II  6637.28, O II  6637.33, 
 6651.03  5.5E-04  | N II  6647.42, Fe II  6647.69, 
 6660.70  3.4E-05  | [Fe II]  6656.58, Ne II  6656.77, 
 6681.92  2.2E-02  | He I  6678.15, 
 6702.09  3.3E-04  | O II  6698.39, 
 6720.40  6.8E-02  | [S II]  6716.44, 
 6734.85  6.1E-02  | [S II]  6730.81, 
 6780.88  2.6E-04  | Na II  6777.30, 
 6794.50  1.6E-04  | Ne II  6790.99, Ne II  6791.08, Ne II  6791.17, 
 6851.44  2.8E-04  | Ne II  6847.83, 
 6991.29  1.1E-03  | C III  6987.10, 
 7013.05  2.8E-03  | Ne II  7009.55, 
 7020.82  2.6E-03  | [Co IV]  7016.60, Fe II  7016.73, O I  7017.30, 
 7031.93  2.9E-03  | S II  7027.80, S II  7027.84, 
 7043.59  2.2E-03  | N II  7038.90, Ar II  7039.26, 
 7046.86  1.0E-03  | S II  7042.71, 
 7060.69  1.2E-03  | Ar II  7056.46, Ar II  7056.47, 
 7069.30  1.4E-02  | He I  7065.37, 
 7083.12  9.4E-04  | [V II]  7078.93, 
 7096.36  4.0E-04  | [Fe II]  7093.97, 
 7113.63  1.0E-03  | [K IV]  7108.90, N II  7109.80, O II  7110.08, [Cr IV]  7110.40, 
 7139.86  8.9E-02  | [Ar III]  7135.80, 
 7188.64  7.1E-03  | [Cr IV]  7184.10, 
 7202.46  3.0E-03  | Fe I  7198.54, 
 7227.37  2.8E-03  | [Fe IV]  7222.80, [Fe II]  7223.18, 
 7259.22  1.0E-03  | 
 7267.76  5.5E-03  | N II  7263.50, 
 7285.04  9.4E-03  | He I  7281.35, 
 7292.36  9.9E-03  | [Fe II]  7288.46, 
 7310.55  2.7E-03  | N I  7306.56, 
 7324.13  2.4E-02  | [O II]  7319.99, 
 7334.55  1.2E-02  | [O II]  7330.73, 
 7380.06  4.3E-04  | S II  7376.25, 
 7430.52  1.2E-03  | [Fe III]  7426.14, [Cr II]  7426.17, 
 7444.28  3.4E-04  | S II  7439.65, C III  7440.40, Fe I  7440.34, 
 7468.41  7.1E-04  | [Cr II]  7463.98, N II  7464.60, 
 7473.54  4.6E-04  | [V II]  7469.40, 
 7493.56  2.4E-04  | Ne I  7488.87, Fe I  7489.22, Ni II  7489.32, Ni II  7489.32, 
 7503.87  4.1E-04  | He I  7499.85, 
 7518.31  7.3E-04  | C III  7514.30, C III  7514.30, 
 7531.11  1.3E-03  | [V II]  7526.92, 
 7534.62  1.4E-04  | O II  7530.61, [Cl IV]  7530.80, 
 7633.13  2.0E-02  | Ar I  7628.88, 
 7642.37  2.3E-02  | [Fe II]  7637.54, O II  7638.60, 
 7667.93  8.8E-03  | O I  7663.44, 
 7726.83  2.8E-04  | O II  7722.48, 
 7728.11  5.7E-04  | O II  7723.73, O II  7723.76, 
 7742.95  1.9E-03  | N II  7738.80, 
 7755.56  1.7E-02  | [Ar III]  7751.10, 
 7773.11  5.3E-04  | [Cr III]  7768.33, 
 7787.23  5.1E-04  | O II  7783.11, 
 7794.56  2.8E-03  | Ne II  7790.25, 
 7821.77  2.2E-03  | [Cr III]  7817.34, 
 7841.99  1.5E-03  | Cl II  7837.39, 
 7853.56  1.6E-03  | Fe I  7849.35, Si II  7849.42, 
 7878.77  3.9E-04  | [Fe II]  7874.25, [Fe II]  7874.65, 
 7921.92  1.1E-03  | [Fe II]  7916.99, 
 7964.94  3.9E-03  | Ne II  7960.54, Ne II  7960.54, 
