# %ECSV 1.0
# ---
# datatype:
# - {name: Wavelength, datatype: float64}
# - {name: Pixel, datatype: int64}
# - {name: prominences, datatype: float64}
# - {name: left_bases, datatype: int64}
# - {name: right_bases, datatype: int64}
# - {name: widths, datatype: float64}
# - {name: width_heights, datatype: float64}
# - {name: left_ips, datatype: float64}
# - {name: right_ips, datatype: float64}
# schema: astropy-2.0
Wavelength Pixel prominences left_bases right_bases widths width_heights left_ips right_ips
4643.6948 35 5.2207 18 68 4.3581 0.4573 32.2141 36.5722
4652.4448 42 3.495 37 44 2.9437 0.5072 40.3994 43.3432
4676.1948 61 3.8216 54 68 2.6593 -1.2156 60.1314 62.7907
4688.6948 71 44.3881 5 79 2.3812 18.9668 69.4191 71.8004
4713.6948 91 79.4997 5 208 2.7756 34.8672 89.9631 92.7387
4742.4448 114 53.0908 109 208 2.3511 23.8213 113.0813 115.4324
4863.6948 211 3779.3371 208 286 2.2602 1865.0912 210.064 212.3242
4883.6948 227 3.5902 217 233 1.8353 -1.5554 226.0514 227.8866
4924.9448 260 39.3965 217 286 2.3696 15.6528 258.4912 260.8607
4954.9448 284 5.3714 270 286 2.0383 0.4374 283.0055 285.0438
4961.1948 289 6597.5949 208 325 2.2615 3270.1601 288.1709 290.4325
5003.6948 323 21.32 306 325 2.0386 6.2503 321.3486 323.3872
5009.9448 328 18854.8542 325 1363 2.3338 9402.7037 326.4419 328.7757
5018.6948 335 42.3696 333 780 1.8782 43.854 333.6633 335.5415
5049.9448 360 7.2133 353 650 2.4586 0.8062 359.2846 361.7432
5169.9448 456 4.4298 372 458 2.3252 -0.1905 454.3249 456.6501
5193.6948 475 5.8097 458 650 2.8002 0.3145 473.9827 476.7829
5324.9448 580 3.0383 483 650 2.468 -0.2274 579.2614 581.7294
5519.9448 736 11.516 650 780 2.8546 2.3966 735.1322 737.9868
5541.1948 753 7.0727 742 780 2.4234 2.5209 751.3833 753.8067
5758.6948 927 3.6028 783 930 3.1566 0.8811 925.1419 928.2984
5804.9448 964 4.7373 783 1020 4.167 0.5928 961.3577 965.5247
5878.6948 1023 435.2331 780 1363 2.2585 206.0392 1021.9961 1024.2545
6104.9448 1204 4.2021 1034 1358 4.0822 0.2061 1202.2174 1206.2996
6314.9448 1372 46.2145 1363 1413 2.5634 14.4598 1371.1423 1373.7057
6552.4448 1562 49.3335 1363 1570 2.262 19.5389 1560.5606 1562.8226
6559.9448 1568 5.1092 1565 1570 2.4985 2.6389 1566.6848 1569.1832
6566.1948 1573 11610.4488 1363 1706 2.1864 5788.7795 1572.0453 1574.2317
6587.4448 1590 150.3087 1588 1706 2.0278 72.355 1589.0014 1591.0292
6681.1948 1665 115.3673 1607 1694 2.2617 56.3806 1664.3246 1666.5863
6721.1948 1697 157.6665 1694 1706 2.1884 66.4206 1695.5242 1697.7126
6734.9448 1708 111.4436 1706 1837 1.9136 54.4717 1707.2455 1709.1591
6871.1948 1817 4.4131 1809 1837 4.5415 1.0055 1815.0792 1819.6207
7068.6948 1975 86.2483 1837 1997 2.1805 42.0913 1974.2553 1976.4358
7139.9448 2032 263.2563 1706 3454 2.1687 124.2436 2030.6178 2032.7865
7174.9448 2060 3.0764 2048 2067 2.3007 0.864 2058.2885 2060.5892
7241.1948 2113 4.3417 2067 2140 2.2238 0.6916 2111.6758 2113.8996
7267.4448 2134 3.2125 2115 2140 2.7452 0.0594 2132.3267 2135.0719
7277.4448 2142 5.8683 2140 2146 1.8416 1.6033 2140.8011 2142.6427
7284.9448 2148 30.9001 2140 2172 2.2139 12.7887 2147.2076 2149.4216
7323.6948 2179 50.5552 2140 2519 2.3888 21.7344 2178.2756 2180.6644
7334.9448 2188 41.2396 2182 2519 2.329 18.9475 2186.5491 2188.8782
7341.1948 2193 5.4153 2191 2214 2.5046 -0.1078 2192.2111 2194.7158
7369.9448 2216 4.096 2214 2338 2.2357 0.3459 2215.3131 2217.5488
7402.4448 2242 3.5122 2240 2338 2.4657 0.5936 2241.0311 2243.4968
7534.9448 2348 6.6617 2191 2376 3.0221 1.1451 2346.1277 2349.1498
7628.6948 2423 5.0401 2416 2519 1.8806 2.3442 2422.4279 2424.3085
7633.6948 2427 3.0318 2425 2519 2.0842 1.4481 2425.5948 2427.6791
7642.4448 2434 3.0917 2432 2489 2.8661 0.4249 2432.5291 2435.3952
7754.9448 2524 63.7489 2519 3454 2.2354 28.0455 2523.2053 2525.4408
7793.6948 2555 3.3187 2554 2565 2.0159 0.6177 2554.6581 2556.674
7821.1948 2577 6.8278 2554 2690 2.5024 0.8378 2576.1739 2578.6762
7853.6948 2603 5.4292 2601 2649 2.1205 0.3912 2602.2603 2604.3808
7913.6948 2651 5.8595 2601 2690 2.5544 0.4055 2650.1848 2652.7392
7964.9448 2692 4.7553 2690 2713 2.0987 -0.3537 2690.8246 2692.9233
7993.6948 2715 4.0527 2690 2730 1.959 0.8059 2713.7907 2715.7497
8049.9448 2760 13.1663 2690 2994 2.7188 3.5543 2758.6769 2761.3957
8281.1948 2945 3.4413 2943 2955 1.7855 0.3189 2944.2205 2946.006
8303.6948 2963 3.9034 2955 2966 2.492 0.061 2961.3196 2963.8116
8309.9448 2968 4.0564 2955 2972 2.5304 0.2389 2967.4113 2969.9417
8318.6948 2975 4.6069 2955 2978 2.0929 0.7845 2974.0725 2976.1653
8327.4448 2982 5.994 2955 2994 2.4217 0.9491 2981.2185 2983.6402
8338.6948 2991 4.7548 2987 2994 2.4278 0.5806 2989.336 2991.7638
8349.9448 3000 6.0214 2997 3007 2.2021 2.1972 2999.054 3001.2561
8363.6948 3011 8.0497 2994 3016 3.0214 3.3072 3009.8264 3012.8478
8378.6948 3023 10.8848 2994 3051 2.6063 2.2701 3021.9552 3024.5615
8396.1948 3037 6.673 3034 3051 3.9224 1.5431 3036.351 3040.2734
8417.4448 3054 12.0019 2994 3063 2.8001 2.137 3052.8361 3055.6362
8431.1948 3065 4.6788 3063 3069 1.8721 0.2107 3063.6662 3065.5383
8442.4448 3074 14.536 2994 3091 2.5082 3.9925 3072.8683 3075.3765
8452.4448 3082 3.8665 3080 3091 1.9043 0.0442 3080.9786 3082.8828
8472.4448 3098 14.6376 2994 3122 2.4245 6.4546 3096.3171 3098.7417
8507.4448 3126 20.1767 2994 3154 2.5039 9.0885 3124.3595 3126.8634
8549.9448 3160 24.2888 2994 3164 2.3004 10.0631 3158.9509 3161.2513
8603.6948 3203 24.0165 2994 3206 2.3698 10.4207 3201.3248 3203.6946
8669.9448 3256 35.8253 2994 3278 2.4979 15.3385 3254.5448 3257.0427
8754.9448 3324 46.1082 2994 3380 2.4432 18.3903 3323.0428 3325.486
8768.6948 3335 6.5708 3332 3340 2.1047 3.3706 3333.7489 3335.8536
8778.6948 3343 7.9554 3340 3380 2.711 3.0398 3341.9185 3344.6295
8827.4448 3382 18.6695 3380 3388 1.5046 5.7354 3381.3633 3382.868
8837.4448 3390 7.7585 3388 3405 1.6703 1.7066 3389.018 3390.6882
8849.9448 3400 3.454 3394 3405 2.2433 0.1929 3399.4784 3401.7218
8867.4448 3414 60.3387 3380 3454 2.4196 23.0896 3413.0386 3415.4582
8886.1948 3429 15.0019 3427 3454 2.2998 1.4773 3428.2298 3430.5296
8903.6948 3443 6.8534 3441 3454 2.664 -0.9466 3442.2007 3444.8647
8919.9448 3456 16.635 3454 3485 1.7605 3.7844 3455.5223 3457.2828
8944.9448 3476 5.5253 3474 3485 2.4629 0.2468 3474.5265 3476.9894
8958.6948 3487 11.281 3485 3520 1.614 3.1489 3486.4764 3488.0904
8988.6948 3511 6.0897 3500 3520 2.9943 3.1394 3510.3962 3513.3905
9002.4448 3522 9.2945 3520 3529 2.2624 3.6562 3520.7212 3522.9836
9019.9448 3536 75.724 3454 3547 2.3976 35.2759 3534.6828 3537.0804
9073.6948 3579 326.2048 1706 3799 2.2486 158.9184 3578.0135 3580.262
9214.9448 3692 3.992 3615 3698 3.8139 0.9739 3691.1887 3695.0026
9233.6948 3707 96.735 3615 3799 2.3457 46.6391 3706.1046 3708.4503
9307.4448 3766 4.3201 3746 3769 2.1433 4.4464 3765.4148 3767.5581
9312.4448 3770 9.7508 3746 3772 2.2331 3.2093 3769.1592 3771.3923
9316.1948 3773 9.8038 3746 3777 1.8677 4.5461 3772.5589 3774.4267
9323.6948 3779 19.5075 3746 3784 1.6752 9.2365 3778.0876 3779.7628
9337.4448 3790 6.7521 3784 3792 4.6502 5.1506 3786.4584 3791.1086
9343.6948 3795 24.9044 3746 3799 3.0123 10.1886 3793.5438 3796.556
