# %ECSV 1.0
# ---
# datatype:
# - {name: Wavelength, datatype: float64}
# - {name: Pixel, datatype: int64}
# - {name: prominences, datatype: float64}
# - {name: left_bases, datatype: int64}
# - {name: right_bases, datatype: int64}
# - {name: widths, datatype: float64}
# - {name: width_heights, datatype: float64}
# - {name: left_ips, datatype: float64}
# - {name: right_ips, datatype: float64}
# schema: astropy-2.0
Wavelength Pixel prominences left_bases right_bases widths width_heights left_ips right_ips
4602.4448 2 4.9646 0 4 1.9091 0.1825 0.9345 2.8436
4608.6948 7 2.6749 0 9 1.8073 1.559 6.6263 8.4336
4642.4448 34 4.0072 26 38 2.3812 0.8635 32.5623 34.9434
4652.4448 42 7.8792 0 72 2.4417 0.7 40.9163 43.3579
4659.9448 48 2.4732 46 50 1.5717 -0.4333 47.4028 48.9746
4664.9448 52 5.3588 46 72 2.092 -0.2586 50.607 52.699
4674.9448 60 1.9722 57 65 2.0965 -0.8946 59.3677 61.4643
4679.9448 64 1.3227 62 65 1.7216 -0.9105 62.6287 64.3503
4692.4448 74 3.6951 72 82 1.7862 -1.185 73.4091 75.1953
4713.6948 91 68.1388 72 133 2.9325 31.0798 90.0028 92.9353
4726.1948 101 1.4596 98 104 4.5206 -0.9764 98.9038 103.4244
4733.6948 107 1.4584 98 110 1.8377 -0.4432 106.468 108.3057
4742.4448 114 46.0608 98 133 2.4421 21.1884 113.0776 115.5196
4801.1948 161 1.1628 159 165 2.2755 -1.1409 159.6704 161.9459
4817.4448 174 1.8702 159 179 1.5275 -0.9715 173.3552 174.8828
4831.1948 185 2.2241 179 199 3.3758 -1.0514 184.0207 187.3965
4846.1948 197 1.7393 188 199 3.984 -1.4408 194.3782 198.3622
4863.6948 211 4917.4402 72 256 2.3526 2454.6378 210.0401 212.3927
4874.9448 220 1.0872 218 256 2.1531 -0.8226 219.0408 221.1939
4878.6948 223 2.3969 222 256 2.1271 -1.8288 222.5 224.6271
4899.9448 240 1.4036 239 251 2.2162 -2.3665 239.5 241.7162
4924.9448 260 53.2378 256 276 2.4013 22.3356 258.5004 260.9016
4934.9448 268 3.2301 264 276 3.5663 -1.2565 265.6874 269.2536
4961.1948 289 8123.8298 256 307 2.3445 4057.34 288.1471 290.4916
5009.9448 328 23771.2021 307 780 2.3926 11879.6353 326.4309 328.8235
5018.6948 335 60.8737 333 780 1.8328 72.8165 333.684 335.5168
5031.1948 345 1.3163 344 348 1.9719 -2.2808 344.5825 346.5544
5037.4448 350 1.9838 344 352 1.5615 -2.2071 349.2673 350.8288
5043.6948 355 1.6827 352 358 1.722 -1.5972 353.9205 355.6425
